Table S1: Emission Ratios for the Firelab FL16 Data Set ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel type,Fuel component,santene,santolina triene,MT isomer,tricyclene,à-thujene,a-pinene,a-fenchene,camphene,MT isomer,MT isomer,MT isomer,MT isomer,MT isomer,MT isomer,sabinene,b-pinene,artemiseole,MT isomer,MT isomer,b-myrcene,MT isomer,a-phellandrene,MT isomer,3-carene,a-terpinene,p-cymene,D-limonene,b-phellandrene,eucalyptol,MT isomer,á-ocimene,á-ocimene_2,C-terpinene,"sabinene hydrate, cis",cis-linalool oxide,MT isomer,MT isomer,terpinolene,trans-linalool oxide,L-fenchone,linalool,à-campholenal,neo-allo-cimene,"limonene oxide, trans-",(+)-nopinone,allocimene,L-pinocarveol,methyl santolinate,L-camphor,pinocarvone,endo-borneol,terpinen-4-ol,terpineol,estragole,myrtenal,myrtenol,fenchyl acetate,cis-chrysanthenol acetate,bornyl acetate,thymol,myrtenyl acetate,á-terpinyl acetate,à-cubebene,SQT isomer,copaene,a-bourbonene,SQT isomer,b-elemene,SQT isomer,longifolene,SQT isomer,SQT isomer,SQT isomer,b-caryophyllene,SQT isomer,SQT isomer,SQT isomer,trans-a-bergamotene,aromandendrene,SQT isomer,humulene,SQT isomer,SQT isomer,SQT isomer,a-selinene,a-bulnesene,cadinene isomer,b-bisabolene,SQT isomer,γ-cadinene,δ-cadinene,humulene,cadinene isomer
lodgepole pine,composite,,,1.05E-06,6.12E-06,1.17E-06,1.98E-05,,2.05E-05,,,7.47E-06,,,,5.86E-06,1.33E-04,,2.54E-06,,6.51E-05,,,8.82E-06,7.26E-05,2.38E-06,4.08E-05,1.44E-04,1.78E-04,,1.68E-06,4.46E-06,,1.87E-06,,1.30E-05,,,1.07E-05,5.30E-06,,1.09E-06,,,,,,,,1.66E-06,4.10E-06,4.24E-06,,1.43E-06,,,,,,1.33E-05,,,,1.02E-06,,1.10E-06,,,1.50E-06,,,,,,,,,,,,1.91E-06,,2.42E-06,,,1.01E-06,,3.44E-06,,,8.68E-06,7.09E-06,,6.98E-07
ponderosa pine,composite,,,,,3.94E-06,6.69E-05,,7.07E-06,,,,,,,4.47E-06,2.97E-04,,,,9.43E-05,,,9.69E-06,3.47E-04,,2.45E-05,1.05E-04,1.34E-06,,,,,3.58E-06,,,,,1.83E-05,,,,,,,,,,,,1.15E-05,,,3.21E-06,,,,,,,,,1.59E-06,,,,,,,,,,,,,,,,1.20E-06,,,,,,,,,,,,,,,
ponderosa pine,composite,,,,,2.18E-06,2.88E-05,,5.67E-06,1.28E-06,,4.03E-06,,,,2.81E-06,1.16E-04,,2.29E-06,,8.14E-05,,,1.29E-05,1.84E-04,,2.14E-05,9.39E-05,,,,,,2.24E-06,,,,,1.22E-05,,,1.72E-06,,,,,,,,,3.50E-06,,1.50E-06,5.77E-06,8.28E-06,,,,,,,,,,,,,,,,1.73E-06,,,,,,,,,,,,,,,,,9.60E-07,,,1.30E-06,,,
ponderosa pine,litter,,,4.23E-06,4.43E-06,2.51E-06,7.37E-05,,2.51E-05,1.77E-06,,1.17E-05,2.54E-06,,,1.42E-06,1.13E-04,,3.20E-06,,5.88E-05,,2.63E-06,9.80E-06,8.43E-05,,6.07E-05,1.60E-04,,,2.19E-06,4.34E-06,,1.13E-06,,,,,4.07E-06,,,,,,,,,5.18E-06,,9.37E-07,,3.40E-06,,,2.75E-06,9.93E-06,4.91E-06,,,4.94E-06,,,,5.54E-07,,,,,,,5.12E-06,,,1.25E-06,1.62E-06,,9.54E-07,,,,,,2.81E-06,,,,,2.98E-06,,,,,,5.68E-07
ponderosa pine,canopy,,,,,,2.07E-05,,,3.20E-06,,,,,,3.71E-06,2.25E-04,,6.87E-06,,9.90E-05,,,1.36E-05,2.70E-04,,3.80E-05,8.32E-05,,,,,,,,,,,1.38E-05,,,,,3.83E-06,,,,,,,,,,,2.47E-05,,,,,,,,,,,,,,,,,,,,,,,,1.04E-06,,,,,,,,,,,,,,,
ponderosa pine,composite,,,4.51E-06,2.61E-06,4.55E-06,1.22E-04,,1.67E-05,,,7.23E-06,2.79E-06,,,5.82E-06,2.38E-04,,6.18E-06,,1.56E-04,,2.90E-06,1.85E-05,2.02E-04,,3.88E-05,1.69E-04,,,,1.25E-05,1.74E-06,2.74E-06,,,,,1.76E-05,,,8.29E-06,,1.71E-06,,3.05E-06,,,,,1.77E-05,,1.82E-06,3.08E-06,7.26E-05,5.14E-06,3.53E-06,,,,,,1.92E-06,5.19E-07,,,,,,,3.48E-06,,,,1.59E-06,,,,1.87E-06,,,,1.69E-06,,,1.52E-06,,2.67E-06,,,3.77E-06,,,
ponderosa pine,canopy,,,1.38E-05,5.00E-06,4.13E-06,2.88E-04,,5.56E-05,1.13E-05,,2.84E-05,8.39E-06,,,1.24E-05,8.54E-04,,2.61E-05,,3.07E-04,,2.47E-06,5.46E-05,4.52E-04,9.54E-06,7.09E-05,4.57E-04,4.09E-05,,8.17E-06,2.18E-05,6.78E-06,1.05E-05,,,,,7.36E-05,,,2.73E-05,,1.84E-05,,5.62E-06,5.12E-06,8.23E-06,,,,,4.41E-06,1.01E-05,1.30E-04,7.94E-06,,,,,,,5.25E-06,,,,,,,,4.86E-06,,,,1.48E-06,,,,1.32E-06,,3.23E-06,,,,,,,2.15E-06,,,,3.44E-06,,
ponderosa pine,composite,,,5.22E-06,1.77E-06,1.54E-06,1.16E-04,,2.23E-05,,,1.31E-05,,,,5.60E-06,1.97E-04,,8.31E-06,,1.95E-04,,1.97E-06,2.10E-05,2.73E-04,,3.25E-05,1.99E-04,,,,1.23E-05,,4.13E-06,,,,,2.61E-05,,,6.90E-06,,3.49E-06,,2.79E-06,,,,,5.99E-06,,2.50E-06,5.41E-06,5.78E-05,5.69E-06,,,,,,,1.41E-06,,,,,,,,3.60E-06,,,,,,,,1.05E-06,,,,,,,,,1.83E-06,,,3.31E-06,2.93E-06,,
ponderosa pine,composite,,,5.06E-06,3.27E-06,5.45E-06,1.84E-04,,3.04E-05,3.05E-06,,6.93E-06,,,,8.09E-07,5.46E-04,,5.80E-06,,1.55E-04,,5.57E-06,1.94E-05,2.04E-04,,4.31E-05,2.03E-04,,,1.74E-06,8.44E-06,1.86E-06,3.86E-06,,,,,3.03E-05,6.38E-07,,1.68E-05,,2.18E-06,,3.98E-06,,9.68E-06,,2.92E-06,,3.71E-06,4.31E-06,6.62E-06,6.60E-05,6.89E-06,5.80E-06,,,2.66E-06,,,4.52E-06,7.12E-07,,,,,,,7.58E-06,,,,9.24E-07,,,,1.02E-06,1.64E-06,,,1.32E-06,,,7.74E-07,,2.11E-06,,,3.97E-06,2.48E-06,,
subalpine fir,canopy,4.84E-05,,1.47E-05,3.00E-04,6.91E-06,1.98E-04,,6.93E-04,,,3.61E-05,6.44E-06,9.36E-06,,5.17E-06,2.78E-04,,3.33E-05,,2.96E-04,,,5.63E-05,9.85E-06,3.18E-05,5.21E-05,2.91E-04,5.20E-04,,7.34E-06,1.73E-05,1.05E-05,6.48E-06,,,5.72E-06,,2.47E-05,,1.90E-06,,1.86E-06,2.64E-05,,,1.01E-05,,,2.05E-05,,2.28E-05,,3.93E-06,,,,3.26E-06,,5.67E-04,1.97E-05,,,,1.67E-06,,,,,,1.36E-05,,,,,,,,,,,,,,,2.43E-06,1.76E-06,,3.77E-06,,,,,
subalpine fir,canopy,4.72E-06,,,3.14E-05,,8.34E-06,,1.41E-04,,,,,,,,3.61E-05,,,,1.55E-05,,,,,,5.57E-06,5.31E-05,7.14E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subalpine fir,composite,5.12E-05,,1.21E-05,2.24E-04,,1.93E-04,,6.29E-04,,,2.05E-05,,,,4.82E-06,2.33E-04,,8.91E-06,,1.52E-04,,,1.94E-05,2.20E-06,8.28E-06,5.55E-05,3.43E-04,2.12E-04,,2.85E-06,9.49E-06,6.99E-06,3.67E-06,,,,,1.90E-05,,3.47E-06,2.98E-06,,4.29E-06,,,,,,3.20E-05,8.82E-06,2.88E-05,6.92E-06,3.40E-06,,8.39E-06,,4.59E-06,,6.07E-04,1.29E-05,,,,,,,,,,1.43E-05,,,,,,,,,,,,,,,2.23E-06,2.23E-06,,6.31E-06,,,,7.97E-07,
subalpine fir,litter,4.92E-05,,,1.98E-04,,1.02E-04,,6.99E-04,,,,,,,,5.10E-05,,,,6.48E-06,,,,,,2.98E-05,2.05E-04,3.51E-05,,,,,,,,,,,,,,,,,,,,,7.64E-05,,1.03E-04,,,,,,,,1.80E-04,,,,,,,,,,,2.32E-05,,,,,,,,,,,,,,,,,,,,,,,
subalpine fir,duff,5.34E-06,,,1.90E-05,2.64E-06,5.11E-05,,1.02E-04,,,2.74E-05,,,,,2.21E-05,,,,8.62E-06,,,1.16E-05,,1.46E-05,6.96E-05,6.43E-05,9.01E-05,,3.23E-06,1.03E-05,,3.36E-06,,,,,,,,,,,,,,,,1.82E-05,,2.26E-05,,,,,,,,3.67E-05,3.55E-06,,,,,,,,,,1.32E-05,,,,,,,,,,,,,,,,,,,6.43E-06,,,,
subalpine fir,composite,2.28E-05,,2.03E-06,9.47E-05,3.69E-06,7.36E-05,,3.49E-04,,,6.37E-06,,,,2.86E-06,1.13E-04,,,,3.16E-05,,,5.07E-06,1.33E-05,,2.56E-05,1.34E-04,1.09E-04,6.99E-07,,,,1.33E-06,,,,,2.84E-06,,,,,,,1.92E-06,,,,1.24E-05,8.06E-06,7.34E-06,1.69E-06,,,3.14E-06,,,,1.06E-04,1.45E-06,,,,,,,,,,3.19E-06,,,,,,,,,,,,,,,1.53E-06,,,2.52E-06,,,,,
